# name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
2M 1938+46 b,Confirmed,1.9,0.1,0.1,,,,,,,416.0,2.0,2.0,0.92,0.02,0.02,,,,,,,,2015,2016-05-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Timing,TTV,,Kepler-451 b,,2M  1938+46,294.637500011,46.066388903,,,,,,,,,,,,0.6,0.03,0.03,,,,sdB+M,,,,,,,,,Kepler-451
HAT-P-7 b,Confirmed,1.741,0.028,0.028,,,,1.431,0.011,0.011,2.204735471,2.4e-06,2.4e-06,0.0379,0.0004,0.0004,0.0,,,81.1,0.09,0.09,0.000118,2008,2020-04-20,,,,,,,,,,2454731.68039,0.00023,0.00023,,,,,,,0.497,0.001,0.001,,,,,,,2121.0,,,,,,,,,Published in a refereed paper,Primary Transit,,,Kepler-2 b,"Al2O3, CaTiO3, TiO2",HAT-P-7,292.2458333,47.9694444,10.5,,,,,320.0,40.0,40.0,0.13,,,1.51,0.05,0.04,2.0,0.02,0.01,,2.07,0.23,0.28,6259.0,32.0,32.0,,,
KIC 6185331 b,Confirmed,,,,,,,0.529,0.047,0.07,49.76971,0.00039,0.00039,0.2672,0.0036,0.0036,,,,89.2,0.21,0.21,,2011,2019-06-13,,,,,,,,,,2454992.9877,0.0028,0.0028,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,Primary Transit,Kepler-943 b,,KIC 6185331,284.275,41.535,15.0,,,,,,,,0.11,0.15,0.15,1.027,0.042,0.042,1.27,0.17,0.17,,8.7,1.5,1.5,5619.0,80.0,80.0,,,
KOI-1089.02,Candidate,0.64,0.0,0.64,,,,0.625,0.083,0.083,12.21826,1e-05,1e-05,,,,0.5,0.0,0.5,87.6,0.44,0.44,,2014,2018-07-23,3.48,0.55,0.55,,,,,,,2454973.32089,0.0009,0.0009,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,,,,Kepler-418,294.433333348,38.355555567,15.0,,,,,,,,-0.05,0.1,0.1,0.98,0.08,0.08,1.094,0.14,0.14,,7.0,3.0,4.0,5820.0,100.0,100.0,,,
KOI-1843.03,Candidate,0.00138,0.0005,0.0012,,,,0.0544,0.0071,0.0107,0.1769,,,0.0048,,,,,,,,,,2012,2019-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,Theoretical,Primary Transit,,,Kepler-974,285.013102,40.220753,,,11.951,11.279,11.056,121.0,,,0.07,0.08,0.077,0.52,0.02,0.02,0.5,0.02,0.02,,,,,3687.0,36.96,38.83,,,
KOI-188 b,Confirmed,0.25,0.08,0.08,0.25,0.08,0.08,0.978,0.022,0.022,3.79701816,1.9e-07,1.9e-07,0.0464,0.0008,0.0008,0.33,0.0,0.33,87.02,0.08,0.08,,2014,2020-03-23,,,,,,,,,,2454966.50879,3.9e-05,3.9e-05,,,,,,,0.602,,,,,,34.0,10.0,10.0,1070.0,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,Kepler-425 b,,KOI-188,290.358333342,40.56777779,15.0,,,,,650.0,20.0,20.0,0.24,0.11,0.11,0.93,0.05,0.05,0.86,0.025,0.025,K1V,5.0,4.0,4.0,5170.0,70.0,70.0,,,
KOI-192 b,Confirmed,0.29,0.09,0.09,0.29,0.09,0.09,1.23,0.21,0.21,10.290994,1.1e-06,1.1e-06,0.091,0.01,0.01,0.57,0.0,0.57,89.5,0.45,0.45,,2014,2020-03-23,,,,,,,,,,2454970.02207,9e-05,9e-05,,,,,,,,0.09,0.09,,,,29.8,9.1,9.1,1100.0,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,Kepler-4ee b,,KOI-192,288.254166667,43.705000018,14.5,,,,,1100.0,150.0,150.0,-0.19,0.07,0.07,0.96,0.06,0.06,1.35,0.2,0.2,G2V,7.0,4.0,4.0,5800.0,70.0,70.0,,,
KOI-195 b,Confirmed,0.34,0.08,0.08,0.34,0.08,0.08,1.09,0.03,0.03,3.21751883,1.9e-07,1.9e-07,0.0414,0.001,0.001,0.18,0.0,0.18,85.74,0.06,0.06,,2014,2020-03-23,,,,,,,,,,2454966.63196,4.7e-05,4.7e-05,,,,,,,0.718,0.007,0.007,,,,50.0,10.0,10.0,1300.0,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,Kepler-426 b,,KOI-195,289.433333348,49.473333348,15.0,,,,,880.0,30.0,30.0,-0.21,0.08,0.08,0.91,0.06,0.06,0.92,0.025,0.025,G1V,6.0,4.0,4.0,5725.0,90.0,90.0,,,
KOI-456.04,Candidate,,,,,,,0.1704,0.0125,0.0152,378.417,0.025,0.028,,,,,,,,,,,2020,2020-08-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Primary Transit,,Primary Transit,,,Kepler-160,287.77359015,42.869286,,,13.46,13.101,13.052,,,,-0.361,,,,,,0.88,0.43,0.43,,,,,5857.0,200.0,200.0,,,
Kepler-10 b,Confirmed,0.01048,0.00154,0.00154,,,,0.1311,0.0018,0.0027,0.83749026,2.9e-07,2.9e-07,0.01685,0.00013,0.00013,0.06,0.06,0.16,84.8,3.9,3.9,9.7e-05,2011,2018-11-19,,,,,,,,,,2455034.08687,0.00018,0.00018,,,,,,,,,,,,,,,,2169.0,,,,,0.58,0.25,0.23,,Published in a refereed paper,Primary Transit,,,,,Kepler-10,285.6791667,50.2413889,11.16,,,,,173.0,27.0,27.0,-0.15,0.04,0.04,0.91,0.021,0.021,1.065,0.009,0.009,G,10.6,1.5,1.5,5708.0,28.0,28.0,,,
Kepler-10 c,Confirmed,0.0541,0.006,0.006,,,,0.2097,0.0036,0.008,45.294301,4.8e-05,4.8e-05,0.241,0.0019,0.0019,0.05,0.05,0.2,89.59,0.43,0.25,0.001391,2011,2020-04-13,,,,,,,,,,2455062.26648,0.0081,0.0081,,,,,,,,,,,,,,,,584.0,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,Kepler-10,285.6791667,50.2413889,11.16,,,,,173.0,27.0,27.0,-0.15,0.04,0.04,0.91,0.021,0.021,1.065,0.009,0.009,G,10.6,1.5,1.5,5708.0,28.0,28.0,,,
Kepler-100 b,Confirmed,,,,0.0231,0.01,0.01,0.1164,0.0027,0.0027,6.887037,4.7e-05,4.7e-05,,,,0.13,0.13,0.27,,,,,2014,2015-11-20,,,,,,,,,,,,,,,,,,,0.54,0.02,0.02,,,,1.9,0.8,0.8,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,Kepler-100,291.385833344,41.990000025,,,,,,310.34,9.63,0.49,0.02,0.1,0.1,1.109,0.02,0.02,1.5131,0.011,0.0093,,6.5,0.56,0.46,5825.0,75.0,75.0,,,KOI-41
Kepler-100 c,Confirmed,,,,0.0027,0.013,0.013,0.1981,0.002,0.002,12.815909,2.6e-05,2.6e-05,,,,0.02,0.01,0.15,,,,,2014,2015-11-20,,,,,,,,,,,,,,,,,,,0.05,0.04,0.04,,,,0.18,0.8,0.8,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,Kepler-100,291.385833344,41.990000025,,,,,,310.34,9.63,0.49,0.02,0.1,0.1,1.109,0.02,0.02,1.5131,0.011,0.0093,,6.5,0.56,0.46,5825.0,75.0,75.0,,,KOI-41
Kepler-100 d,Confirmed,,,,0.0094,0.0094,0.0,0.1351,0.003,0.003,35.33313,0.00043,0.00043,,,,0.38,0.16,0.12,,,,,2014,2015-11-20,,,,,,,,,,,,,,,,,,,0.75,0.01,0.01,,,,-0.79,1.0,1.0,,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,,,Kepler-100,291.385833344,41.990000025,,,,,,310.34,9.63,0.49,0.02,0.1,0.1,1.109,0.02,0.02,1.5131,0.011,0.0093,,6.5,0.56,0.46,5825.0,75.0,75.0,,,KOI-41
Kepler-1000 b,Confirmed,,,,,,,0.425,0.028,0.03,120.0181272,0.0003628,0.0003628,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1000,286.685523,47.098221,,,12.319,12.137,12.094,925.0,,,0.35,0.051,0.055,1.4,0.04,0.04,1.51,0.07,0.08,,,,,6453.0,73.42,74.15,,,
Kepler-1001 b,Confirmed,,,,,,,0.281,0.043,0.03,14.30511983,4.34e-05,4.34e-05,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1001,286.273871,48.618706,,,14.109,13.718,13.662,1009.0,,,-0.03,0.17,0.139,0.9,0.04,0.04,0.88,0.06,0.09,,,,,5491.0,68.91,66.16,,,
Kepler-1002 b,Confirmed,,,,,,,0.153,0.004,0.005,4.33642933,6.95e-06,6.95e-06,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1002,293.079495,43.073715,,,10.689,10.449,10.374,425.0,,,0.04,0.057,0.07,1.22,0.05,0.05,1.57,0.04,0.05,,,,,6144.0,61.08,47.25,,,
Kepler-1003 b,Confirmed,,,,,,,0.159,0.02,0.043,3.55485691,6.71e-06,6.71e-06,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1003,292.020456,44.876217,,,12.95,12.637,12.623,873.0,,,0.01,0.172,0.14,1.11,0.08,0.13,1.17,0.15,0.32,,,,,6109.0,195.29,150.04,,,
Kepler-1004 b,Confirmed,,,,,,,0.56,0.039,0.07,5.28789787,1.198e-05,1.198e-05,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1004,297.359299,49.79755,,,11.7,11.155,11.06,1080.0,,,-0.04,0.031,0.023,1.11,0.12,0.18,3.39,0.22,0.28,,,,,4972.0,39.52,52.3,,,
Kepler-1005 b,Confirmed,,,,,,,0.134,0.013,0.019,6.49801525,1.32e-05,1.32e-05,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1005,286.286014,43.320461,,,12.091,11.788,11.718,515.0,,,0.02,0.103,0.089,1.0,0.04,0.04,1.06,0.1,0.15,,,,,5782.0,67.92,68.03,,,
Kepler-1006 b,Confirmed,,,,,,,0.137,0.012,0.024,19.76172042,6.67e-05,6.67e-05,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1006,295.754127,42.537476,,,13.053,12.625,12.502,496.0,,,-0.4,0.189,0.237,0.78,0.06,0.07,0.74,0.06,0.09,,,,,5328.0,112.84,180.84,,,
Kepler-1007 b,Confirmed,,,,,,,0.128,0.006,0.006,5.18500207,9.32e-06,9.32e-06,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1007,295.906552,45.80912,,,12.94,12.326,12.224,365.0,,,0.03,0.16,0.152,0.73,0.04,0.03,0.7,0.03,0.03,,,,,4587.0,98.48,88.05,,,
Kepler-1008 b,Confirmed,,,,,,,0.114,0.004,0.006,12.43931193,2.837e-05,2.837e-05,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1008,296.547525,44.941933,,,11.93,11.46,11.378,299.0,,,-0.01,0.102,0.102,0.81,0.03,0.03,0.78,0.03,0.03,,,,,5066.0,66.82,79.91,,,
Kepler-1009 b,Confirmed,,,,,,,0.194,0.021,0.024,11.35011917,2.25e-05,2.25e-05,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1009,282.85993,42.665764,,,13.192,12.518,12.347,281.0,,,-0.12,0.107,0.091,0.59,0.03,0.02,0.57,0.02,0.02,,,,,4027.0,36.46,41.14,,,
Kepler-101 b,Confirmed,,,,,,,0.524,0.13,0.13,3.487691,2e-06,2e-06,0.048,,,,,,,,,,2014,2014-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-101,283.2554931,48.355228,,,12.403,12.112,12.011,,,,,,,1.12,,,1.67,0.41,0.41,,,,,5570.0,134.0,134.0,,,
Kepler-101 c,Confirmed,,,,,,,0.119,0.03,0.03,6.029809,0.000115,0.000115,0.068,,,,,,,,,,2014,2014-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-101,283.2554931,48.355228,,,12.403,12.112,12.011,,,,,,,1.12,,,1.67,0.41,0.41,,,,,5570.0,134.0,134.0,,,
Kepler-1010 b,Confirmed,,,,,,,0.207,0.016,0.039,34.2685705,0.0001181,0.0001181,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1010,289.192636,44.149326,,,13.293,12.878,12.771,610.0,,,-0.01,0.164,0.155,0.86,0.04,0.04,0.82,0.04,0.05,,,,,5253.0,80.75,67.75,,,
Kepler-1011 b,Confirmed,,,,,,,0.256,0.039,0.026,5.75322197,9.42e-06,9.42e-06,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1011,297.401546,46.824001,,,13.832,13.432,13.361,860.0,,,0.08,0.161,0.154,0.91,0.04,0.04,0.88,0.05,0.09,,,,,5416.0,130.93,95.5,,,
Kepler-1012 b,Confirmed,,,,,,,0.115,0.005,0.007,5.50860439,1.151e-05,1.151e-05,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1012,289.29627,46.457954,,,12.064,11.755,11.664,420.0,,,0.05,0.102,0.109,0.95,0.04,0.03,0.91,0.04,0.05,,,,,5556.0,67.52,77.89,,,
Kepler-1013 b,Confirmed,,,,,,,0.192,0.018,0.032,18.93054959,4.672e-05,4.672e-05,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1013,290.248072,44.435242,,,12.881,12.37,12.289,433.0,,,0.04,0.163,0.15,0.81,0.04,0.04,0.76,0.03,0.03,,,,,4954.0,81.88,77.29,,,
Kepler-1014 b,Confirmed,,,,,,,0.213,0.022,0.019,16.57110363,3.817e-05,3.817e-05,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1014,285.122033,44.110603,,,13.37,12.937,12.898,672.0,,,-0.06,0.15,0.151,0.88,0.05,0.04,0.84,0.05,0.07,,,,,5388.0,66.36,68.87,,,
Kepler-1015 b,Confirmed,,,,,,,0.317,0.059,0.118,16.00494214,4.175e-05,4.175e-05,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1015,292.75733,43.42691,,,11.887,11.713,11.684,932.0,,,0.06,0.151,0.134,1.49,0.15,0.22,1.81,0.34,0.67,,,,,6769.0,197.14,136.36,,,
Kepler-1016 b,Confirmed,,,,,,,0.194,0.025,0.033,1.95452434,3.31e-06,3.31e-06,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1016,294.613645,45.984623,,,14.179,13.843,13.728,1239.0,,,-0.03,0.182,0.137,0.99,0.07,0.08,1.0,0.1,0.17,,,,,5821.0,169.89,177.41,,,
Kepler-1016 c,Confirmed,,,,,,,0.328,0.033,0.058,105.6551369,0.0005452,0.0005452,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1016,294.613645,45.984623,,,14.179,13.843,13.728,1239.0,,,-0.03,0.182,0.137,0.99,0.07,0.08,1.0,0.1,0.17,,,,,5821.0,169.89,177.41,,,
Kepler-1017 b,Confirmed,,,,,,,0.178,0.011,0.026,7.23400469,1.433e-05,1.433e-05,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1017,283.469362,40.132607,,,12.838,12.475,12.396,554.0,,,0.04,0.105,0.101,0.93,0.04,0.04,0.87,0.03,0.03,,,,,5473.0,81.05,93.16,,,
Kepler-1018 b,Confirmed,,,,,,,0.23,0.017,0.027,49.1013514,0.0001876,0.0001876,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1018,283.596696,45.407879,,,13.838,13.458,13.373,894.0,,,-0.05,0.183,0.154,0.91,0.06,0.04,0.88,0.06,0.1,,,,,5518.0,57.64,61.16,,,
Kepler-1019 b,Confirmed,,,,,,,0.13,0.014,0.004,1.41122985,7.5e-07,7.5e-07,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1019,283.717526,47.204449,,,11.767,11.166,11.003,198.0,,,0.01,0.178,0.175,0.7,0.05,0.03,0.67,0.04,0.02,,,,,4433.0,45.09,43.73,,,
Kepler-102 b,Confirmed,0.0013,0.005,0.005,,,,0.042,0.002,0.002,5.28696,,,0.055,,,,,,,,,,2014,2019-07-01,,,,,,,,,,,,,,,,,,,0.06,0.06,0.06,,,,0.19,0.7,0.7,792.0,,,,,,,,,Published in a refereed paper,Primary Transit,,,KOI-82.05,,Kepler-102,281.482727,47.208031,11.492,11.15,9.984,9.446,9.351,,,,0.18,0.47,0.42,0.81,0.09,0.04,0.76,0.07,0.07,,1.41,,,4809.0,41.0,41.0,,,"KOI-82, KIC 10187017"
Kepler-102 c,Confirmed,,,,0.009,inf,nan,0.052,0.002,0.002,7.07142,,,0.067,,,,,,,,,,2013,2019-07-01,,,,,,,,,,,,,,,,,,,0.06,0.05,0.05,,,,-1.0,0.6,0.6,718.0,,,,,,,,,Published in a refereed paper,Primary Transit,Radial Velocity,Primary Transit,KOI-82.04,,Kepler-102,281.482727,47.208031,11.492,11.15,9.984,9.446,9.351,,,,0.18,0.47,0.42,0.81,0.09,0.04,0.76,0.07,0.07,,1.41,,,4809.0,41.0,41.0,,,"KOI-82, KIC 10187017"
Kepler-102 d,Confirmed,0.0082,0.0035,0.0041,,,,0.104,0.006,0.004,10.3117,,,,,,,,,,,,,2014,2019-07-01,,,,2454972.9875,0.0032,0.0032,,,,,,,,,,,,,0.22,0.05,0.05,,,,1.37,0.6,0.6,,,,,,,,,,Published in a refereed paper,Primary Transit,,,KOI-82.02,,Kepler-102,281.482727,47.208031,11.492,11.15,9.984,9.446,9.351,,,,0.18,0.47,0.42,0.81,0.09,0.04,0.76,0.07,0.07,,1.41,,,4809.0,41.0,41.0,,,"KOI-82, KIC 10187017"
Kepler-102 e,Confirmed,0.0281,0.0063,0.0063,,,,0.198,0.006,0.006,16.14569,3e-05,3e-05,0.117,0.003,0.003,0.0,0.0,0.4,89.56,0.64,0.44,,2013,2019-07-01,360.0,235.0,0.0,,,,,,,,,,,,,,,,0.3,0.03,0.03,,,,2.77,0.6,0.6,579.0,,,,,,,,,Published in a refereed paper,Primary Transit,,,KOI-82.01,,Kepler-102,281.482727,47.208031,11.492,11.15,9.984,9.446,9.351,,,,0.18,0.47,0.42,0.81,0.09,0.04,0.76,0.07,0.07,,1.41,,,4809.0,41.0,41.0,,,"KOI-82, KIC 10187017"
Kepler-102 f,Confirmed,0.002,0.01,0.01,,,,0.079,0.003,0.003,27.4536,,,0.165,,,,,,,,,,2013,2019-07-01,,,,,,,,,,,,,,,,,,,0.57,0.03,0.03,,,,2.11,0.8,0.8,457.0,,,,,,,,,Published in a refereed paper,Primary Transit,,,KOI-82.03,,Kepler-102,281.482727,47.208031,11.492,11.15,9.984,9.446,9.351,,,,0.18,0.47,0.42,0.81,0.09,0.04,0.76,0.07,0.07,,1.41,,,4809.0,41.0,41.0,,,"KOI-82, KIC 10187017"
Kepler-1020 b,Confirmed,,,,,,,0.203,0.008,0.007,96.9151496,0.0003632,0.0003632,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1020,292.672551,46.377422,,,12.654,12.213,12.15,446.0,,,0.0,0.101,0.103,0.87,0.03,0.03,0.8,0.02,0.02,,,,,5227.0,60.63,66.71,,,
Kepler-1021 b,Confirmed,,,,,,,0.208,0.016,0.022,13.47469571,3.21e-05,3.21e-05,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1021,295.204905,42.559681,,,13.833,13.412,13.332,837.0,,,-0.05,0.17,0.147,0.89,0.05,0.05,0.86,0.06,0.09,,,,,5431.0,143.99,143.14,,,
Kepler-1022 b,Confirmed,,,,,,,0.211,0.025,0.007,10.99469878,1.88e-05,1.88e-05,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1022,289.352005,46.973728,,,13.54,12.907,12.821,455.0,,,0.06,0.175,0.157,0.71,0.04,0.03,0.68,0.03,0.02,,,,,4445.0,51.77,49.47,,,
Kepler-1023 b,Confirmed,,,,,,,0.235,0.016,0.027,62.1387714,0.0002199,0.0002199,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1023,289.029742,49.769707,,,13.243,12.897,12.762,686.0,,,0.05,0.161,0.155,0.93,0.04,0.04,0.89,0.05,0.1,,,,,5494.0,98.69,75.28,,,
Kepler-1024 b,Confirmed,,,,,,,0.349,0.023,0.024,66.4162133,0.0003538,0.0003538,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1024,291.950991,38.251698,,,14.589,14.053,14.05,1017.0,,,-0.1,0.182,0.142,0.81,0.05,0.04,0.78,0.05,0.04,,,,,5143.0,76.37,126.73,,,
Kepler-1025 b,Confirmed,,,,,,,0.177,0.02,0.037,37.3229493,0.0001363,0.0001363,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1025,284.510201,43.961666,,,12.572,12.265,12.217,716.0,,,-0.03,0.181,0.145,1.09,0.07,0.08,1.13,0.12,0.23,,,,,6089.0,95.52,102.4,,,
Kepler-1026 b,Confirmed,,,,,,,0.197,0.013,0.029,36.5156053,0.0001037,0.0001037,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1026,283.605263,39.99798,,,12.686,12.178,12.077,389.0,,,-0.02,0.167,0.151,0.79,0.04,0.04,0.75,0.04,0.03,,,,,4948.0,89.37,85.79,,,
Kepler-1027 b,Confirmed,,,,,,,0.079,0.002,0.004,1.9078052,2.46e-06,2.46e-06,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1027,287.571185,42.813923,,,11.542,11.23,11.119,291.0,,,-0.06,0.087,0.107,0.91,0.02,0.03,0.82,0.02,0.02,,,,,5436.0,58.48,66.85,,,
Kepler-1028 b,Confirmed,,,,,,,0.119,0.01,0.013,2.51462432,4.95e-06,4.95e-06,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1028,289.593097,49.781158,,,13.124,12.726,12.63,633.0,,,-0.09,0.195,0.166,0.9,0.06,0.05,0.87,0.07,0.1,,,,,5522.0,78.23,102.65,,,
Kepler-1029 b,Confirmed,,,,,,,0.112,0.006,0.007,4.41769648,8.9e-06,8.9e-06,,,,,,,,,,,2016,2016-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-1029,292.132976,41.54754,,,12.766,12.301,12.169,422.0,,,0.01,0.172,0.163,0.82,0.04,0.04,0.77,0.04,0.04,,,,,5030.0,91.81,68.38,,,
Kepler-103 b,Confirmed,0.03672,0.0148,0.0135,,,,0.310976,0.00482,0.00455,15.9653287,9e-06,9e-06,0.133,0.0016,0.0039,0.17,0.12,0.29,87.914,0.07,0.07,,2014,2019-10-09,313.0,82.0,130.0,,,,,,,2455677.65243,0.00028,0.00028,,,,,,,0.72,0.01,0.01,,,,2.75,1.0,1.0,,,,,,,,,,Published in a refereed paper,Primary Transit,Spectrum,Primary Transit,,,Kepler-103,288.859541675,40.0645277904,12.287,12.132,11.193,10.941,10.873,473.56,14.51,14.51,0.07,0.11,0.11,1.099,0.03,0.019,1.455,0.013,0.024,,6.67,0.62,0.69,5845.0,88.0,88.0,,,"KOI-108, KIC 4914423"
