# name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
Kepler-232 b,Confirmed,,,,,,,0.275,0.131,0.131,4.431222,1.1e-05,1.1e-05,0.054,,,,,,,,,,2014,2014-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-232,295.81616205,51.121742,,,14.179,13.799,13.765,,,,0.083,,,,,,0.97,0.46,0.46,,,,,5847.0,200.0,200.0,,,
Kepler-232 c,Confirmed,,,,,,,0.342,0.166,0.166,11.379349,4.4e-05,4.4e-05,0.101,,,,,,,,,,2014,2014-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-232,295.81616205,51.121742,,,14.179,13.799,13.765,,,,0.083,,,,,,0.97,0.46,0.46,,,,,5847.0,200.0,200.0,,,
Kepler-233 b,Confirmed,,,,,,,0.217,0.059,0.059,8.472382,2.6e-05,2.6e-05,0.077,,,,,,,,,,2014,2014-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-233,296.3665161,51.319523,,,14.006,13.555,13.453,,,,-0.067,,,,,,0.76,0.21,0.21,,,,,5360.0,200.0,200.0,,,
Kepler-233 c,Confirmed,,,,,,,0.242,0.07,0.07,60.418955,0.00063,0.00063,0.287,,,,,,,,,,2014,2014-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-233,296.3665161,51.319523,,,14.006,13.555,13.453,,,,-0.067,,,,,,0.76,0.21,0.21,,,,,5360.0,200.0,200.0,,,
Kepler-234 b,Confirmed,,,,,,,0.33,0.148,0.148,2.711506,6e-06,6e-06,0.04,,,,,,,,,,2014,2014-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-234,291.65350335,38.494659,,,14.387,14.104,14.065,,,,0.075,,,,,,1.11,0.49,0.49,,,,,6224.0,200.0,200.0,,,
Kepler-234 c,Confirmed,,,,,,,0.313,0.139,0.139,7.21205,2.2e-05,2.2e-05,0.077,,,,,,,,,,2014,2014-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-234,291.65350335,38.494659,,,14.387,14.104,14.065,,,,0.075,,,,,,1.11,0.49,0.49,,,,,6224.0,200.0,200.0,,,
Kepler-235 b,Confirmed,,,,,,,0.199,0.009,0.009,3.340222,5e-06,5e-06,0.037,,,,,,,,,,2014,2014-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-235,286.0791015,39.278313,,,13.952,13.278,13.116,,,,0.087,,,0.59,,,0.55,0.02,0.02,,,,,4255.0,100.0,100.0,,,
Kepler-235 c,Confirmed,,,,,,,0.114,0.007,0.007,7.824904,5.5e-05,5.5e-05,0.065,,,,,,,,,,2014,2014-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-235,286.0791015,39.278313,,,13.952,13.278,13.116,,,,0.087,,,0.59,,,0.55,0.02,0.02,,,,,4255.0,100.0,100.0,,,
Kepler-235 d,Confirmed,,,,,,,0.183,0.009,0.009,20.060548,9.9e-05,9.9e-05,0.122,,,,,,,,,,2014,2014-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-235,286.0791015,39.278313,,,13.952,13.278,13.116,,,,0.087,,,0.59,,,0.55,0.02,0.02,,,,,4255.0,100.0,100.0,,,
Kepler-235 e,Confirmed,,,,,,,0.198,0.026,0.026,46.183669,0.000425,0.000425,0.213,,,,,,,,,,2014,2014-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Announced on a website,Primary Transit,,,,,Kepler-235,286.0791015,39.278313,,,13.952,13.278,13.116,,,,0.087,,,0.59,,,0.55,0.02,0.02,,,,,4255.0,100.0,100.0,,,
