pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_distlim,gaia_dist,gaia_disterr1,gaia_disterr2,gaia_distlim,st_optmag,st_optmagerr,st_optmaglim,st_optband,gaia_gmag,gaia_gmagerr,gaia_gmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_mass,st_masserr1,st_masserr2,st_masslim,st_rad,st_raderr1,st_raderr2,st_radlim,rowupdate,pl_facility
Kepler-552 b,Transit,0,1,5.26341577,0.0000029,-0.0000029,0,,,,,,,,,,,,,,,,,,0.352,0.073,-0.051,0,,,,,0,1,0,1,19h22m59.44s,290.747687,+48d14m31.2s,48.242012,834,174.97,-82.89,0,864.68,12.3,-12.3,0,14.279,,0,Kepler-band,14.262,,0,5863,103.85,-100.72,0,1.03,0.06,-0.06,0,1.04,0.22,-0.1,0,10/05/2016,Kepler
Kepler-553 b,Transit,0,2,4.03046804,0.00000164,-0.00000164,0,,,,,,,,,,,,,,,,,,0.413,0.012,-0.016,0,,,,,0,1,0,1,19h54m12.20s,298.550829,+48d19m56.8s,48.332455,725,23.86,-22.31,0,743.92,13,-13,0,14.924,,0,Kepler-band,14.957,,0,5266,88.28,-74.44,0,0.92,0.03,-0.03,0,0.85,0.02,-0.02,0,10/05/2016,Kepler
Kepler-553 c,Transit,0,2,328.2399546,0.0003646,-0.0003646,0,,,,,,,,,,,,,,,,,,0.999,0.029,-0.028,0,,,,,0,1,0,1,19h54m12.20s,298.550829,+48d19m56.8s,48.332455,725,23.86,-22.31,0,743.92,13,-13,0,14.924,,0,Kepler-band,14.957,,0,5266,88.28,-74.44,0,0.92,0.03,-0.03,0,0.85,0.02,-0.02,0,10/05/2016,Kepler
Kepler-554 b,Transit,0,1,1.90220856,0.00000041,-0.00000041,0,,,,,,,,,,,,,,,,,,0.383,0.024,-0.019,0,,,,,0,1,0,1,19h45m37.64s,296.406853,+51d21m29.4s,51.358154,642,41.59,-31.95,0,704.49,8.89,-8.89,0,14.313,,0,Kepler-band,14.296,,0,5447,76.54,-66.56,0,0.93,0.04,-0.03,0,0.92,0.06,-0.04,0,10/05/2016,Kepler
Kepler-555 b,Transit,0,1,16.21775407,0.0000289,-0.0000289,0,,,,,,,,,,,,,,,,,,0.252,0.05,-0.026,0,,,,,0,1,0,1,19h02m04.04s,285.516852,+38d55m56.7s,38.932408,772,151.58,-83.63,0,1001.07,18.85,-18.85,0,14.2,,0,Kepler-band,14.161,,0,5894,117.98,-162.81,0,1.03,0.07,-0.07,0,1.04,0.21,-0.1,0,10/05/2016,Kepler
Kepler-556 b,Transit,0,1,11.72292176,0.00002381,-0.00002381,0,,,,,,,,,,,,,,,,,,0.2,0.018,-0.011,0,,,,,0,1,0,1,19h22m07.07s,290.529444,+38d56m33.6s,38.942671,729,61.13,-40.19,0,687.88,9.42,-9.42,0,14.112,,0,Kepler-band,14.125,,0,5740,57.53,-49.06,0,1,0.03,-0.04,0,0.98,0.08,-0.05,0,10/05/2016,Kepler
Kepler-557 b,Transit,0,1,3.70598955,0.00000487,-0.00000487,0,,,,,,,,,,,,,,,,,,0.238,0.071,-0.034,0,,,,,0,1,0,1,19h34m50.03s,293.708458,+41d36m54.5s,41.615135,1126,338.05,-167.88,0,2228.61,131.13,-131.13,0,14.641,,0,Kepler-band,14.639,,0,6068,151.79,-199.33,0,1.11,0.12,-0.09,0,1.16,0.35,-0.16,0,10/05/2016,Kepler
Kepler-558 b,Transit,0,1,29.00790538,0.00008906,-0.00008906,0,,,,,,,,,,,,,,,,,,0.211,0.015,-0.012,0,,,,,0,1,0,1,18h58m37.89s,284.657888,+42d39m09.6s,42.652676,652,42.26,-39.71,0,674.64,10.23,-10.23,0,14.805,,0,Kepler-band,14.954,,0,5242,93.27,-66.35,0,0.85,0.04,-0.05,0,0.81,0.05,-0.05,0,10/05/2016,Kepler
Kepler-559 b,Transit,0,1,17.58752333,0.00002056,-0.00002056,0,,,,,,,,,,,,,,,,,,0.322,0.057,-0.032,0,,,,,0,1,0,1,19h46m32.84s,296.636834,+43d48m10.1s,43.802792,793,145.36,-85.15,0,794.17,15.23,-15.23,0,14.743,,0,Kepler-band,14.742,,0,5630,200.63,-197.22,0,0.96,0.07,-0.06,0,0.95,0.17,-0.09,0,10/05/2016,Kepler
Kepler-56 b,Transit,0,3,10.5016,0.0011,-0.001,0,0.1028,0.0037,-0.0037,0,,,,,,,,,0.07,0.012,-0.011,0,Mass,0.581,0.026,-0.025,0,0.442,0.08,-0.072,0,1,1,0,1,19h35m02.00s,293.758347,+41d52m18.7s,41.871869,936.96,24.59,-24.59,0,936.96,24.59,-24.59,0,12.44,,0,Kepler-band,12.43,,0,4840,97,-97,0,1.32,0.13,-0.13,0,4.23,0.15,-0.15,0,14/05/2014,Kepler
Kepler-56 c,Transit,0,3,21.40239,0.00059,-0.00062,0,0.1652,0.0059,-0.0059,0,,,,,,,,,0.57,0.066,-0.06,0,Mass,0.874,0.041,-0.041,0,1.06,0.14,-0.13,0,1,1,0,1,19h35m02.00s,293.758347,+41d52m18.7s,41.871869,936.96,24.59,-24.59,0,936.96,24.59,-24.59,0,12.44,,0,Kepler-band,12.43,,0,4840,97,-97,0,1.32,0.13,-0.13,0,4.23,0.15,-0.15,0,14/05/2014,Kepler
Kepler-56 d,Radial Velocity,0,3,1002,5,-5,0,2.16,0.08,-0.08,0,0.2,0.01,-0.01,0,,,,,5.61,0.38,-0.38,0,Msini,,,,,,,,,0,1,0,0,19h35m02.00s,293.758347,+41d52m18.7s,41.871869,936.96,24.59,-24.59,0,936.96,24.59,-24.59,0,12.44,,0,Kepler-band,12.43,,0,4840,97,-97,0,1.32,0.13,-0.13,0,4.23,0.15,-0.15,0,13/10/2016,Multiple Observatories
Kepler-560 b,Transit,0,1,18.47764449,0.00001517,-0.00001517,0,,,,,,,,,,,,,,,,,,0.153,0.008,-0.008,0,,,,,0,1,0,2,20h00m49.46s,300.206095,+45d01m05.3s,45.018147,88,4.78,-5.22,0,109.65,0.41,-0.41,0,14.708,,0,Kepler-band,14.751,,0,3556,30.41,-23.6,0,0.34,0.02,-0.02,0,0.33,0.02,-0.02,0,10/05/2016,Kepler
Kepler-561 b,Transit,0,2,58.3620495,0.00003229,-0.00003229,0,,,,,,,,,,,,,,,,,,0.621,0.108,-0.054,0,,,,,1,1,0,1,19h34m59.30s,293.747096,+45d06m26.0s,45.10722,667,118.62,-65.86,0,632.57,9.6,-9.6,0,14.361,,0,Kepler-band,14.332,,0,5646,175.4,-189.65,0,0.96,0.07,-0.06,0,0.94,0.16,-0.08,0,10/05/2016,Kepler
Kepler-561 c,Transit,0,2,5.35016198,0.00000443,-0.00000443,0,,,,,,,,,,,,,,,,,,0.239,0.038,-0.022,0,,,,,0,1,0,1,19h34m59.30s,293.747096,+45d06m26.0s,45.10722,667,118.62,-65.86,0,632.57,9.6,-9.6,0,14.361,,0,Kepler-band,14.332,,0,5646,175.4,-189.65,0,0.96,0.07,-0.06,0,0.94,0.16,-0.08,0,10/05/2016,Kepler
