kepid,kepoi_name,kepler_name,koi_eccen,koi_eccen_err1,koi_eccen_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_sma,koi_sma_err1,koi_sma_err2,koi_dor,koi_dor_err1,koi_dor_err2,koi_limbdark_mod,koi_ldm_coeff4,koi_ldm_coeff3,koi_ldm_coeff2,koi_ldm_coeff1,koi_parm_prov,koi_model_snr,koi_smet,koi_smet_err1,koi_smet_err2
9243795,K07150.01,,0,,,0.98,0.028,-0.013,0.1262,,,11.53,0.136,-0.136,Claret (2011 A&A 529 75) ATLAS LS,0,0,0.2819,0.3658,q1_q17_dr25_koi,2186,-0.34,0.35,-0.3
9266285,K07151.01,,0,,,1.07,0.031,-0.038,0.0549,,,8.2608,0.0559,-0.0559,Claret (2011 A&A 529 75) ATLAS LS,0,0,0.0656,0.6854,q1_q17_dr25_koi,1253.6,0.1,0.25,-0.3
10026136,K07274.01,,0,,,0.614,0.007,-0.011,0.0896,,,12.7307,0.0301,-0.0301,Claret (2011 A&A 529 75) ATLAS LS,0,0,0.3103,0.2947,q1_q17_dr25_koi,3481.8,-0.14,0.25,-0.3
10026457,K07275.01,,0,,,1.117,0.021,-0.039,0.0817,,,9.2906,0.0937,-0.0937,Claret (2011 A&A 529 75) ATLAS LS,0,0,0.2665,0.398,q1_q17_dr25_koi,529,-0.64,0.3,-0.3
10031409,K07276.01,,0,,,0.806,0.015,-0.022,0.032,,,4.846,0.165,-0.165,Claret (2011 A&A 529 75) ATLAS LS,0,0,0.3023,0.3153,q1_q17_dr25_koi,2409.8,-0.22,0.3,-0.3
10031526,K07277.01,,0,,,0.791,0.179,-0.561,0.0795,,,6.03,2.7,-2.7,Claret (2011 A&A 529 75) ATLAS LS,0,0,0.2434,0.4341,q1_q17_dr25_koi,9.8,-0.16,0.3,-0.3
10031808,K07278.01,,0,,,0.686,0.004,-0.005,0.0858,,,9.93215,0.00356,-0.00356,Claret (2011 A&A 529 75) ATLAS LS,0,0,0.2998,0.3069,q1_q17_dr25_koi,5324.6,-0.56,0.3,-0.3
10053138,K07279.01,,0,,,0.407,0.067,-0.407,0.097,,,20.08,8.4,-8.4,Claret (2011 A&A 529 75) ATLAS LS,0,0,0.2291,0.4603,q1_q17_dr25_koi,9.9,0.12,0.15,-0.1
10063044,K07280.01,,0,,,0.864,0.02,-0.021,0.0236,,,2.4642,0.0322,-0.0322,Claret (2011 A&A 529 75) ATLAS LS,0,0,0.3243,0.2367,q1_q17_dr25_koi,1440.7,-0.14,0.2,-0.35
10066755,K07281.01,,0,,,0.6323,0.3373,-0.4099,0.0395,,,2.495,0.996,-0.996,Claret (2011 A&A 529 75) ATLAS LS,0,0,0.3216,0.2615,q1_q17_dr24_koi,10.3,-0.24,0.26,-0.34
10070479,K07282.01,,0,,,0.035,0.5404,-0.0349,0.0262,,,50.19,7.8,-7.8,Claret (2011 A&A 529 75) ATLAS LS,0,0,0.1037,0.6349,q1_q17_dr24_koi,11.9,0.1,0.24,-0.3
11134079,K07410.01,,0,,,0.58,0.016,-0.005,0.0203,,,5.2059,0.0233,-0.0233,Claret (2011 A&A 529 75) ATLAS LS,0,0,0.2665,0.398,q1_q17_dr25_koi,781.2,-0.64,0.35,-0.3
11137061,K07411.01,,0,,,0.477,0.002,-0.467,0.0276,,,3.11,1.3,-1.3,Claret (2011 A&A 529 75) ATLAS LS,0,0,0.2521,0.421,q1_q17_dr25_koi,15.5,-0.36,0.35,-0.3
11144439,K07412.01,,0,,,0.242,0.256,-0.242,0.0135,,,7,3.1,-3.1,Claret (2011 A&A 529 75) ATLAS LS,0,0,0.2434,0.4341,q1_q17_dr25_koi,10.9,-0.24,0.3,-0.3
7119481,K00566.02,,0,,,0.138,0.311,-0.138,0.1161,,,28.6,13.4,-13.4,Claret (2011 A&A 529 75) ATLAS LS,0,0,0.2916,0.3447,q1_q17_dr25_koi,9.3,-0.18,0.25,-0.35
11147276,K07413.01,,0,,,1.033,0.173,-0.13,0.0253,,,4.185,0.391,-0.391,Claret (2011 A&A 529 75) ATLAS LS,0,0,0.2965,0.3342,q1_q17_dr25_koi,485,-0.36,0.3,-0.3
11154043,K07414.01,,0,,,0.968,0.072,-0.023,0.0693,,,1.1271,0.0854,-0.0854,Claret (2011 A&A 529 75) ATLAS LS,0,0,0.2912,0.2291,q1_q17_dr25_koi,55.2,0.07,0.25,-0.6
11182260,K07415.01,,0,,,0.461,0.102,-0.377,0.0199,,,5.75,2.5,-2.5,Claret (2011 A&A 529 75) ATLAS LS,0,0,0.1908,0.5172,q1_q17_dr25_koi,45.8,-0.72,0.3,-0.3
11187972,K07416.01,,0,,,0.2,0.259,-0.2,0.2238,,,57,24.7,-24.7,Claret (2011 A&A 529 75) ATLAS LS,0,0,0.3023,0.3153,q1_q17_dr25_koi,10.3,-0.22,0.25,-0.3
4548011,K04288.03,,0,,,0.2789,0.1911,-0.2788,0.0526,,,7.05,1.9,-1.9,Claret (2011 A&A 529 75) ATLAS LS,0,0,0.2763,0.38,q1_q17_dr24_koi,8,0.06,0.12,-0.12
2852941,K04298.02,,,,,,,,,,,,,,,,,,,q1_q17_dr24_koi,,,,
8773015,K04301.02,,0,,,0.575,0.412,-0.361,0.0693,,,11.52,4.5,-4.5,Claret (2011 A&A 529 75) ATLAS LS,0,0,0.3036,0.3098,q1_q17_dr25_koi,9.8,-0.26,0.3,-0.3
9883606,K04383.02,,0,,,0.229,0.223,-0.229,0.0373,,,8.94,2.7,-2.7,Claret (2011 A&A 529 75) ATLAS LS,0,0,0.302,0.319,q1_q17_dr25_koi,8.5,-0.12,0.25,-0.3
9597729,K04417.02,,0,,,1.207,3.625,-0.133,0.018,,,1.447,0.722,-0.722,Claret (2011 A&A 529 75) ATLAS LS,0,0,0.2916,0.3447,q1_q17_dr25_koi,25.2,,,
9836563,K04421.02,,0,,,0.378,0.095,-0.378,0.0708,,,10.81,5.4,-5.4,Claret (2011 A&A 529 75) ATLAS LS,0,0,0.2844,0.3661,q1_q17_dr25_koi,10.1,0.14,0.15,-0.15
6508221,K00416.04,,0,,,0.0671,0.4162,-0.067,0.182,,,69.4,32.9,-32.9,Claret (2011 A&A 529 75) ATLAS LS,0,0,0.1951,0.508,q1_q17_dr24_koi,7.8,-0.18,0.16,-0.16
9100953,K04500.03,,0,,,0.75,0.227,-0.522,0.1104,,,34.6,15,-15,Claret (2011 A&A 529 75) ATLAS LS,0,0,0.2043,0.4966,q1_q17_dr25_koi,9.5,-0.1,0.3,-0.3
3830820,K06360.01,,0,,,0.759,0.012,-0.001,0.1,,,30.807,0.994,-0.994,Claret (2011 A&A 529 75) ATLAS LS,0,0,0.3037,0.4224,q1_q17_dr25_koi,439.3,0,0.1,-0.1
3831523,K06361.01,,0,,,0.981,,,0.0281,,,1.013469,,,Claret (2011 A&A 529 75) ATLAS LS,0,0,0.3105,0.2893,q1_q17_dr25_koi,41.5,-0.36,0.3,-0.3
3834364,K06362.01,,0,,,1.113,0.505,-0.186,0.0355,,,8.55,2.8,-2.8,Claret (2011 A&A 529 75) ATLAS LS,0,0,0.308,0.3117,q1_q17_dr25_koi,252.8,-0.8,0.35,-0.3
3836413,K06363.01,,0,,,1.093,0.153,-0.102,0.0262,,,4.161,0.278,-0.278,Claret (2011 A&A 529 75) ATLAS LS,0,0,0.2622,0.4035,q1_q17_dr25_koi,340.4,0,0,0
3836439,K06364.01,,0,,,1.072,0.035,-0.021,0.0299,,,4.4015,0.0724,-0.0724,Claret (2011 A&A 529 75) ATLAS LS,0,0,0.3349,0.2264,q1_q17_dr25_koi,997.9,-0.58,0.3,-0.3
3838004,K06365.01,,0,,,0.104,0.496,-0.104,0.0356,,,40.1,17.1,-17.1,Claret (2011 A&A 529 75) ATLAS LS,0,0,0.1997,0.5041,q1_q17_dr25_koi,8.6,-0.04,0.3,-0.25
3851134,K06366.01,,0,,,0.276,0.181,-0.276,0.02,,,2.902,0.542,-0.542,Claret (2011 A&A 529 75) ATLAS LS,0,0,0.3138,0.2998,q1_q17_dr25_koi,13,0.07,0.25,-0.3
3851193,K06367.01,,0,,,0.309,0.005,-0.008,0.025,,,3.4764,0.0251,-0.0251,Claret (2011 A&A 529 75) ATLAS LS,0,0,0.302,0.319,q1_q17_dr25_koi,1829.3,-0.06,0.25,-0.3
9595956,K07604.01,,,,,,,,,,,,,,,,,,,q1_q17_dr24_koi,,,,
9655792,K07605.01,,0,,,0.3597,0.0717,-0.3594,1.3854,,,337.5,89.1,-89.1,Claret (2011 A&A 529 75) ATLAS LS,0,0,0.2931,0.3437,q1_q17_dr24_koi,11.5,-0.14,0.22,-0.3
9970396,K07606.01,,0,,,0.2758,0.0196,-0.0212,0.7587,,,22.782,0.338,-0.338,Claret (2011 A&A 529 75) ATLAS LS,0,0,0.1641,0.5577,q1_q17_dr24_koi,210.7,-0.26,0.28,-0.24
10079420,K07607.01,,,,,,,,,,,,,,,,,,,q1_q17_dr24_koi,,,,
10253638,K07608.01,,,,,,,,,,,,,,,,,,,q1_q17_dr25_koi,,,,
10267121,K07609.01,,0,,,0.296,0.166,-0.296,0.2212,,,17.32,2.3,-2.3,Claret (2011 A&A 529 75) ATLAS LS,0,0,0.302,0.319,q1_q17_dr25_koi,10.4,-0.12,0.25,-0.3
10341777,K07610.01,,0,,,0.057,0.401,-0.057,0.0176,,,2.165,0.603,-0.603,Claret (2011 A&A 529 75) ATLAS LS,0,0,0.3041,0.2913,q1_q17_dr25_koi,14.3,-1.1,0.3,-0.3
10407271,K07611.01,,0,,,0.714,0.027,-0.522,0.0171,,,1.505,0.646,-0.646,Claret (2011 A&A 529 75) ATLAS LS,0,0,0.2665,0.398,q1_q17_dr25_koi,16.5,-0.54,0.35,-0.3
10471167,K07612.01,,0,,,0.009,0.472,-0.009,0.0168,,,1.784,0.691,-0.691,Claret (2011 A&A 529 75) ATLAS LS,0,0,0.1142,0.6188,q1_q17_dr25_koi,13.4,-0.06,0.3,-0.3
10471174,K07613.01,,0,,,0.57,0.423,-0.345,0.0182,,,1.536,0.634,-0.634,Claret (2011 A&A 529 75) ATLAS LS,0,0,0.2396,0.4415,q1_q17_dr25_koi,10.8,-0.1,0.3,-0.3
10471345,K07614.01,,0,,,0.385,0.093,-0.385,0.0174,,,2.04,0.922,-0.922,Claret (2011 A&A 529 75) ATLAS LS,0,0,0.2865,0.3556,q1_q17_dr25_koi,9.5,-0.5,0.3,-0.3
11296798,K07615.01,,0,,,0.8359,0.0063,-0.5877,1.8282,,,310,149,-149,Claret (2011 A&A 529 75) ATLAS LS,0,0,0.3135,0.3136,q1_q17_dr24_koi,11.2,0.22,0.16,-0.26
11463950,K07616.01,,0,,,0.008,0.475,-0.008,0.0606,,,2.68,1.1,-1.1,Claret (2011 A&A 529 75) ATLAS LS,0,0,0.3372,0.252,q1_q17_dr25_koi,9.3,0.16,0.15,-0.15
11559304,K07617.01,,0,,,0.2446,0.2216,-0.2445,0.0795,,,39.1,5.4,-5.4,Claret (2011 A&A 529 75) ATLAS LS,0,0,0.3491,0.3762,q1_q17_dr24_koi,8.2,-0.2,0.1,-0.1
11621897,K07618.01,,0,,,0.27,0.168,-0.27,0.1566,,,22.41,9.1,-9.1,Claret (2011 A&A 529 75) ATLAS LS,0,0,0.3032,0.3147,q1_q17_dr25_koi,6.9,-0.2,0.25,-0.3
12253534,K07619.01,,0,,,0.0964,0.3697,-0.0964,1.2343,,,151.5,60.6,-60.6,Claret (2011 A&A 529 75) ATLAS LS,0,0,0.2947,0.3433,q1_q17_dr24_koi,14.1,0.04,0.2,-0.28
12304202,K07620.01,,,,,,,,,,,,,,,,,,,q1_q17_dr24_koi,,,,
4735826,K03184.03,,0,,,0.505,0.455,-0.304,0.0502,,,7.4,3.1,-3.1,Claret (2011 A&A 529 75) ATLAS LS,0,0,0.2638,0.4046,q1_q17_dr25_koi,14.4,0.12,0.15,-0.15
9291039,K03230.02,,0,,,0.649,,,0.0487,,,2.687224,,,Claret (2011 A&A 529 75) ATLAS LS,0,0,0.2868,0.3588,q1_q17_dr25_koi,24.5,0.04,0.25,-0.3
10155321,K04422.02,,0,,,0.9638,0.0121,-0.6667,0.0182,,,1.02,0.51,-0.51,Claret (2011 A&A 529 75) ATLAS LS,0,0,0.338,0.2269,q1_q17_dr24_koi,22.8,-0.04,0.25,-0.38
5003670,K04524.03,,0,,,0.934,0.029,-0.705,0.0438,,,3.92,1.9,-1.9,Claret (2011 A&A 529 75) ATLAS LS,0,0,0.2555,0.4191,q1_q17_dr25_koi,10.7,0.16,0.15,-0.15
4953173,K04676.02,,0,,,1.159,0.107,-0.103,0.0489,,,1.176,0.143,-0.143,Claret (2011 A&A 529 75) ATLAS LS,0,0,0.2865,0.3671,q1_q17_dr25_koi,36.9,0.18,0.2,-0.3
8973285,K04782.02,,0,,,1.007,7.214,-0.545,0.0527,,,2.09,1,-1,Claret (2011 A&A 529 75) ATLAS LS,0,0,0.2889,0.3511,q1_q17_dr25_koi,11,-0.06,0.25,-0.3
2861126,K04957.02,,0,,,0.069,0.382,-0.069,0.0425,,,23.9,4,-4,Claret (2011 A&A 529 75) ATLAS LS,0,0,0.3976,0.3142,q1_q17_dr25_koi,9.7,-0.2,0.1,-0.1
6363560,K05270.02,,0,,,0.037,0.417,-0.037,0.0188,,,4.19,1.9,-1.9,Claret (2011 A&A 529 75) ATLAS LS,0,0,0.3032,0.3147,q1_q17_dr25_koi,13.2,-0.16,0.25,-0.35
7539174,K05397.02,,0,,,0.8328,0.0482,-0.565,1.0187,,,105.3,52.1,-52.1,Claret (2011 A&A 529 75) ATLAS LS,0,0,0.1862,0.5242,q1_q17_dr24_koi,16.3,-0.48,0.22,-0.24
